"Name","Type","Manufacturer","World Drop","Drop Source","Location","Quest / Challenge","Summary","Red Text","Elements","Mayhem Only Level","Not Anointable"
"Hive","RPG","TORGUE",0,"Princess Tarantella II","The Splinterlands","Rare Enemy","Launches hovering ball that shoots many rockets before exploding","Full of bees.","C R",,
"R.Y.N.A.H. ","RPG","TORGUE",0,"N/A","N/A","N/A","N/A","You've had this one coming a long time.","R",,
"Scourge","RPG","TORGUE",1,"Brood Mother","The Pyre of Stars","Crew Challenge","Shoots 1 large rocket with 3 smaller swirling around it. 4 ammo/shot","Or am I?","Any",,
"Scourge","RPG","TORGUE",1,"Alacritous Vanda","Cistern of Slaughter","Cistern of Slaughter","Shoots 1 large rocket with 3 smaller swirling around it. 4 ammo/shot","Or am I?","Any",,
"Stuffed Quadomizer","RPG","TORGUE",0,"The Rampager","Forgotten Basilica","Beneath the Meridian","Shoots 4 Massive Rockets. Alternates elements. 2 ammo/shot","Damn near killed 'em.","FCR",,
"Tunguska","RPG","TORGUE",1,"Chonk Stomp","Floodmoor Basin","Crew Challenge","Fires 2 rockets that rise on impact before detonating","Crack the skye.","N",,
"Flakker","Shotgun","TORGUE",1,"Manvark","Konrad's Hold","Crew Challenge","Explosions everywhere. 5 ammo/shot","Flak the world.","N F R",,
"Redline","Shotgun","TORGUE",0,"Road Dog","The Splinterlands","Rare Enemy","Stuck gyrojets increase dmg by 5% each. 2 ammo/shot","I live my life a quarter mag at a time.","Any",,
"The Boring Gun","Shotgun","TORGUE",1,"Antalope","Devil's Razor","Crew Challenge","Shoots 3 grounded sawblades that dig in fired direction. 2 ammo/shot","This is beyond science.","Any",,
"The Lob","Shotgun","TORGUE",1,"Graveward","The Floating Tomb","Cold as the Grave","3-round burst of big slow orbs that pass through enemies","Everything has to be magical.","F C S R O",,
"Tiggs' Boom","Shotgun","TORGUE",0,"Wotan the Invincible","Midnight's Cairn","Maliwan Takedown","Shots pierce enemies. Makes meteors fall from the sky. 2 ammo/shot","A gaping hole in the sky.","F C S R O",,
"Damned","AR","Vladof",1,"Agonizer 9000","Guts of Carnivora","Blood Drive","Weapon shield","Well, I'll be...","Any",,
"Engulfing Shredifier","AR","Vladof",1,"Raging Titan","The Slaughter Shaft","The Slaughter Shaft","Full-Auto / Random underbarrel attachment. High fire rate & mag size","Speed Kills.","Any",,
"Faisor","AR","Vladof",1,"Atomic","Tazendeer Ruins","Crew Challenge","Full auto / Shotgun","Set Faisors to kill.","Any",,
"Lucian's Call","AR","Vladof",1,"Loot-o-Gram","Skywell-27","Dinklebot","Crit returns 2 bullets to mag & ricochets 2 bullets","What happened?","F C O",,
"Lucian's Call","AR","Vladof",1,"Blue Fire","Slaughterstar 3000","Slaughterstar 3000","Crit returns 2 bullets to mag & ricochets 2 bullets","What happened?","F C O",,
"Ogre","AR","Vladof",1,"Anointed Alpha","The anvil","Malevolent Practice","Shots explode on impact. High magazine size","It's all ogre now.","N",,
"The Dictator","AR","Vladof",1,"Agonizer 9000 & Pain","Guts of Carnivora","Blood Drive","Full-Auto 3 projectiles / Bipod 7 projectiles. Fires in horizontal spread","Let them hate me, so that they will but fear me.","Any",,
"Sickle","AR","Vladof",1,"Warden","The Anvil","Hammerlocked","It's really a Full-Auto shotgun. Spread forms a sickle. 2 ammo/shot","Swing the sickle!","Any",,
"Infinity","Pistol","Vladof",1,"Anointed Alpha","The anvil","Malevolent Practice","Infinite Ammo. Full-Auto. Spray pattern resembles infinity symbol","It's closer than you think! (no it isn't)","Any",,
"Magnificent","Pistol","Vladof",1,"Jabbermogwai","Voracious Canopy","Crew Challenge","Very low accuracy. High fire rate","Yedesh na den', khleba beri na nedelyu.","N F C S",,
"Jericho","RPG","Vladof",1,"Crushjaw","C. of the Twin Gods","Crew Challenge","Launcher / Mortar. Explodes into mirv grenades","I prefer the weapon you only need to fire once.","R",,
"Mongol","RPG","Vladof",0,"N/A","N/A","N/A","N/A","Man is a horde animal.","F C S R",,
"Lyuda","Sniper","Vladof",1,"Zer0 Mail","N/A","Target of Opportunity 100%","N/A","Man killer.","Any",,
"Lyuda","Sniper","Vladof",1,"Tremendous Rex","Cistern of Slaughter","Cistern of Slaughter","Splits into 3 projectiles","Man killer.","Any",,
